A	1 A
ABORTY	19 TARBOY
ABORU	13 BURAO
ABORUY	15 YORUBA
ABORV	14 BRAVO
ABORX	13 BORAX
ABORY	14 BOYAR
ABOSS	12 BASSO
ABOSSU	13 BUSAOS
ABOST	16 SABOT
ABOSTU	17 BASUTO
ABOSTUU	18 AUTOBUS
ABOSTY	18 STABOY
ABOSUU	13 AUSUBO
ABOT	15 TOBA
ABOTU	16 ABOUT
ABOUY	13 BAYOU
ABOX	11 ABOX
ABOZ	11 BOZA
ABP	8 BAP
ABPRSTU	17 SUBPART
ABPRTU	16 ABRUPT
ABPRU	11 UPBAR
ABPRUY	13 UPBRAY
ABPSSSU	12 SUBPASS
ABPSSY	12 BYPASS
ABPSTY	16 BYPAST
ABPUY	11 UPBAY
ABQSU	17 SQUAB
ABQU	16 QUAB
ABR	7 RAB
ABRRSU	11 BURSAR
ABRRSUY	13 BURSARY
ABRRTUY	17 TURBARY
ABRRY	11 BARRY
ABRSS	9 BRASS
ABRSSY	11 BRASSY
ABRSTU	14 ABURST
ABRSTUU	15 ARBUTUS
ABRSU	9 SUBRA
ABRSW	11 BRAWS
ABRT	12 BRAT
ABRTU	13 TUBAR
ABRTY	14 RYBAT
ABRU	8 BARU
ABRW	10 BRAW
ABRXY	10 BRAXY
ABRY	9 YARB
ABS	6 SAB
ABSS	7 BASS
ABSSSU	9 BASSUS
ABSSY	9 ABYSS
ABST	11 STAB
ABSTU	12 TSUBA
ABSUWY	12 SUBWAY
ABSW	9 SWAB
ABT	10 TAB
ABTT	15 BATT
ABTTU	16 TABUT
ABTTY	17 BATTY
ABTU	11 TUBA
ABTZ	11 BATZ
ABU	6 ABU
ABUY	8 YABU
ABUZZ	8 ABUZZ
ABW	8 WAB
ABWYY	12 BYWAY
ABY	7 BAY
AC	6 CA
ACCCHII	23 IACCHIC
ACCCHOO	31 COCOACH
ACCCIL	19 CALCIC
ACCCILY	21 ACYCLIC
ACCCISU	19 CACICUS
ACCCLO	23 COCCAL
ACCCORR	25 RACCROC
ACCDDEI	20 DECADIC
ACCDDII	19 CICADID
ACCDEE	18 ACCEDE
ACCDEEN	22 CADENCE
ACCDEER	20 ACCEDER
ACCDEHR	23 DECARCH
ACCDEII	18 ACCIDIE
ACCDEKO	31 COCKADE
ACCDEKR	28 CRACKED
ACCDEL	18 CALCED
ACCDEN	20 ACCEND
ACCDENY	22 CADENCY
ACCDERU	19 CARDECU
ACCDESU	18 SUCCADE
ACCDETY	23 CADETCY
ACCDFIL	20 FLACCID
ACCDHIL	22 CHALCID
ACCDHOR	26 CHOCARD
ACCDI	15 CICAD
ACCDII	16 ACIDIC
ACCDIIR	18 ACRIDIC
ACCDIIT	21 DACITIC
ACCDILO	22 CODICAL
ACCDILS	18 SCALDIC
ACCDIM	20 CADMIC
ACCDINR	21 CANCRID
ACCDINS	20 SCANDIC
ACCDIOT	25 OCTADIC
ACCDKLO	31 CADLOCK
ACCDKNO	33 CANDOCK
ACCDKOR	31 CRADOCK
ACCDLOY	23 CACODYL
ACCDMO	24 DOCMAC
ACCDOR	21 ACCORD
ACCDORR	23 CROCARD
ACCDY	16 CYCAD
ACCE	13 ECCA
ACCEEHH	25 CHEECHA
ACCEEHO	25 COACHEE
ACCEELN	21 CENACLE
ACCEENR	21 CREANCE
ACCEERS	18 ACCERSE
ACCEERT	22 ACCRETE
ACCEFFI	20 CAFFEIC
ACCEFIT	22 FACTICE
ACCEFLU	19 FELUCCA
ACCEGIN	19 ACCINGE
ACCEH	18 CACHE
ACCEHHN	27 CHANCHE
ACCEHIL	21 CHALICE
ACCEHIN	23 CHICANE
ACCEHIT	24 HECATIC
ACCEHKL	30 CHACKLE
ACCEHKR	30 CHACKER
ACCEHL	20 CLEACH
ACCEHLN	24 CHANCEL
ACCEHLO	25 COCHLEA
ACCEHN	22 CHANCE
ACCEHNO	27 ENCOACH
ACCEHNR	24 CHANCRE
ACCEHOR	25 RECOACH
ACCEHPU	22 CAPUCHE
ACCEHRT	25 RECATCH
ACCEHT	23 CHACTE
ACCEHTT	28 CATHECT
ACCEHTU	24 CATECHU
ACCEHU	19 ECHUCA
ACCEHXY	21 CACHEXY
ACCEIIL	17 CECILIA
ACCEIKL	26 CAICKLE
ACCEIL	16 CELIAC
ACCEILL	18 CALICLE
ACCEILN	20 CALCINE
ACCEILO	21 COELIAC
ACCEILR	18 CLARICE
ACCEILS	17 CALICES
ACCEILT	21 CALCITE
ACCEILY	18 CYCLIAE
ACCEIMR	21 RACEMIC
ACCEIMS	20 CEASMIC
ACCEINO	23 OCEANIC
ACCEINR	20 CIRCEAN
ACCEINV	20 VACCINE
ACCEIP	17 IPECAC
ACCEIPR	19 CAPRICE
ACCEIPV	19 PECCAVI
ACCEIQU	25 CACIQUE
ACCEIRT	21 CREATIC
ACCEIS	15 CASEIC
ACCEIST	20 SICCATE
ACCEIT	19 ACETIC
ACCEITT	24 ECTATIC
ACCEITY	21 ACYETIC
ACCEKL	25 CACKLE
ACCEKLR	27 CRACKLE
ACCEKLT	30 CLACKET
ACCEKOP	31 PEACOCK
ACCEKPU	27 CUPCAKE
ACCEKRR	27 CRACKER
ACCELLO	22 ACCOLLE
ACCELLY	19 CALYCLE
ACCELN	19 CANCEL
ACCELNO	24 CONCEAL
ACCELNY	21 CYCLANE
ACCELO	20 COECAL
ACCELOR	22 CORACLE
ACCELR	17 CERCAL
ACCELSU	17 SACCULE
ACCELSY	18 CALYCES
ACCEM	18 MECCA
ACCEMN	22 MECCAN
ACCEMNO	27 MECCANO
ACCEMU	19 CAECUM
ACCENOR	24 CONACRE
ACCENOT	27 COENACT
ACCENOV	24 CONCAVE
ACCENPT	25 PECCANT
ACCENR	19 CRANCE
ACCENRS	20 SCARCEN
ACCENSY	20 SECANCY
ACCENT	22 ACCENT
ACCEOPY	23 CACOEPY
ACCEOSU	20 COCAUSE
ACCEPRY	20 PECCARY
ACCEPT	21 ACCEPT
ACCERRU	18 ACCRUER
ACCERS	16 SCARCE
ACCERSU	17 ACCUSER
ACCERU	16 ACCRUE
ACCESS	15 ACCESS
ACCESU	15 ACCUSE
ACCETUY	21 YUCATEC
ACCEU	14 CUECA
ACCFIIP	19 PACIFIC
ACCFILY	19 CALCIFY
ACCFINR	21 FRANCIC
ACCFNOT	28 CONFACT
ACCGHIL	20 GALCHIC
ACCGIOU	19 GUACICO
ACCGNO	21 COGNAC
ACCGOOR	24 GORACCO
ACCH	16 CHAC
ACCHHI	22 CHICHA
ACCHHIN	26 CHINCHA
ACCHIIS	19 ISCHIAC
ACCHILO	24 ACHOLIC
ACCHILS	20 CHALCIS
ACCHILT	24 CHILCAT
ACCHIMO	27 MOCHICA
ACCHIMS	23 CHASMIC
ACCHIN	21 CANCHI
ACCHINO	26 NOACHIC
ACCHIOS	23 IACCHOS
ACCHIOT	27 CHAOTIC
ACCHIOU	23 ACOUCHI
ACCHIRY	21 CRAICHY
ACCHISU	19 IACCHUS
ACCHJSU	20 JACCHUS
ACCHK	26 CHACK
ACCHKOY	33 HAYCOCK
ACCHKY	28 CHYACK
ACCHLNO	27 CONCHAL
ACCHLO	23 COCHAL
ACCHLSU	20 CHALCUS
ACCHLT	23 CLATCH
ACCHMOU	27 AMUCHCO
ACCHN	20 CANCH
ACCHNNO	29 CONNACH
ACCHNO	25 CONCHA
ACCHNOO	30 CHOCOAN
ACCHNOU	26 UNCOACH
ACCHNRS	23 SCRANCH
ACCHNRU	23 CRAUNCH
ACCHNU	21 CUCHAN
ACCHNY	22 CHANCY
ACCHO	21 COACH
ACCHOR	23 CORACH
ACCHORR	25 CARROCH
ACCHORT	28 OCTARCH
ACCHOS	22 COCASH
ACCHOTW	29 CHOCTAW
ACCHOU	22 CAUCHO
ACCHOUY	24 ACOUCHY
ACCHOY	23 COACHY
ACCHPTU	25 UPCATCH
ACCHRRU	21 CURRACH
ACCHRST	24 SCRATCH
ACCHRSU	20 SCRAUCH
ACCHRSY	21 CACHRYS
ACCHRT	23 CRATCH
ACCHST	22 SCATCH
ACCHT	21 CATCH
ACCHTY	23 CATCHY
ACCHU	17 CAUCH
ACCII	13 ICICA
ACCIILN	19 ACLINIC
ACCIIN	17 INCAIC
ACCIINO	22 CICONIA
ACCIINT	22 ACTINIC
ACCIIOR	20 CORACII
ACCIIR	15 RICCIA
ACCIIST	19 SCIATIC
ACCIKL	24 CLIACK
ACCIKRR	26 CARRICK
ACCIKRS	25 CARSICK
ACCIL	14 LICCA
ACCILLO	21 COLICAL
ACCILLU	17 CALCULI
ACCILMO	24 COMICAL
ACCILMU	20 CALCIUM
ACCILNO	23 LACONIC
ACCILNU	19 CLUNIAC
ACCILNY	20 CYNICAL
ACCILO	19 CALICO
ACCILOR	21 CALORIC
ACCILOV	21 VOCALIC
ACCILRU	17 CRUCIAL
ACCILRY	18 ACRYLIC
ACCILSS	16 CLASSIC
ACCILST	20 CLASTIC
ACCILT	19 LACTIC
ACCILTU	20 CALICUT
ACCIM	17 ACMIC
ACCIMM	22 MICMAC
ACCIMNO	26 COMANIC
ACCIMOS	23 ACOSMIC
ACCIMOZ	23 ZIMOCCA
ACCINNO	25 CANONIC
ACCINO	21 ACONIC
ACCINOP	24 CANOPIC
ACCINOR	23 CARONIC
ACCINOT	26 TACONIC
ACCINR	18 CRANIC
ACCINRU	19 CRUCIAN
ACCINS	17 SCANIC
ACCINST	22 SICCANT
ACCINT	21 CANTIC
ACCINY	18 CYANIC
ACCIO	17 ICACO
ACCIOP	20 ACOPIC
ACCIOPR	22 CAPROIC
ACCIORS	20 SCORIAC
ACCIORT	24 CAROTIC
ACCIORY	21 CORYCIA
ACCIOSU	19 COCUISA
ACCIOTV	24 OCTAVIC
ACCIPR	17 CAPRIC
ACCIPRT	22 PRACTIC
ACCIR	14 CIRCA
ACCIRR	16 RICRAC
ACCIRT	19 ARCTIC
ACCIRTU	20 CURATIC
ACCIRZ	15 CZARIC
ACCIS	13 SICCA
ACCISS	14 SICSAC
ACCISSU	15 SUCCISA
ACCISTT	23 TACTICS
ACCISTU	19 CAUSTIC
ACCISTY	20 CYTASIC
ACCIT	17 TICCA
ACCITT	22 TACTIC
ACCITU	18 CICUTA
ACCK	21 CACK
ACCKL	23 CLACK
ACCKLO	28 COCKAL
ACCKLOP	31 LAPCOCK
ACCKLRY	27 CRACKLY
ACCKMMO	36 CAMMOCK
ACCKMOY	33 MAYCOCK
ACCKNU	26 CANUCK
ACCKO	26 ACOCK
ACCKOOR	33 OARCOCK
ACCKOSS	28 COSSACK
ACCKOST	32 CASTOCK
ACCKR	23 CRACK
ACCKRRU	26 CURRACK
ACCKRY	25 CRACKY
ACCLLO	20 LACCOL
ACCLLUU	17 CUCULLA
ACCLMOU	24 MOLUCCA
ACCLOOT	28 ACOCOTL
ACCLOS	19 CASCOL
ACCLOU	19 COUCAL
ACCLOY	20 ACCLOY
ACCLRY	17 CYCLAR
ACCLSUU	16 SUCCULA
ACCLSY	16 CYCLAS
ACCMNOY	27 CACONYM
ACCMNRU	23 CANCRUM
ACCMO	21 MACCO
ACCMOPT	29 COMPACT
ACCMOR	23 CORMAC
ACCMOY	23 OCCAMY
ACCMRUU	20 CURCUMA
ACCNNOO	29 COONCAN
ACCNOO	25 CACOON
ACCNOOR	27 RACCOON
ACCNORY	24 ACRONYC
ACCNOTT	30 CONTACT
ACCNOTU	26 ACCOUNT
ACCO	16 COCA
ACCOO	21 COCOA
ACCOORT	28 TAROCCO
ACCOPTY	26 COPYCAT
ACCOQSU	28 SQUACCO
ACCORS	19 CORSAC
ACCORSS	20 CORCASS
ACCORY	20 OCRACY
ACCOS	17 CASCO
ACCOSS	18 SACCOS
ACCOST	22 ACCOST
ACCOT	21 COACT
ACCOU	17 COUAC
ACCOY	18 CCOYA
ACCRSU	15 CURCAS
ACCRU	14 CACUR
ACCRUY	16 CURACY
ACCSSU	14 SACCUS
ACCSTU	18 CACTUS
ACCSTUU	19 CUSCUTA
ACCSUU	14 CAUCUS
ACCSY	14 CYCAS
ACCUY	14 YUCCA
ACD	9 CAD
ACDDDKO	30 DADDOCK
ACDDE	14 DECAD
ACDDEE	16 DECADE
ACDDEEL	18 CLEADED
ACDDEER	18 CEDARED
ACDDEEW	19 CADWEED
ACDDEEY	18 DECAYED
ACDDEFI	18 DECAFID
ACDDEHI	20 DIDACHE
ACDDEHO	24 CODHEAD
ACDDEI	15 EDDAIC
ACDDEIM	20 CADMIDE
ACDDEIN	19 CANDIED
ACDDEIU	16 DECIDUA
ACDDEL	16 CADDLE
ACDDELO	21 CLADODE
ACDDELS	17 SCALDED
ACDDEMU	20 DUCDAME
ACDDENU	19 EDUCAND
ACDDEOP	22 DECAPOD
ACDDER	16 CARDED
ACDDERU	17 ADDUCER
ACDDEU	15 ADDUCE
ACDDHIS	19 CADDISH
ACDDHKO	32 HADDOCK
ACDDHRU	20 CHUDDAR
ACDDII	14 DIACID
ACDDIIO	19 ACIDOID
ACDDIIR	16 CIDARID
ACDDIIV	16 DAVIDIC
ACDDIN	17 CANDID
ACDDINU	18 DUNCIAD
ACDDIOO	23 ODACOID
ACDDIR	15 DARDIC
ACDDIRS	16 DISCARD
ACDDIRY	17 DRYADIC
ACDDIS	14 CADDIS
ACDDIT	18 ADDICT
ACDDIU	14 DUADIC
ACDDIY	15 DYADIC
ACDDKLO	29 LADDOCK
ACDDKOP	30 PADDOCK
ACDDO	17 CADDO
ACDDOW	20 CADDOW
ACDDRY	16 CRADDY
ACDDTU	18 ADDUCT
ACDDY	14 CADDY
ACDE	11 ECAD
ACDEEES	16 DECEASE
ACDEEF	16 DEFACE
ACDEEFR	18 DEFACER
ACDEEFT	21 FACETED
ACDEEGL	16 GLACEED
ACDEEHL	20 CHALDEE
ACDEEIL	16 LECIDEA
ACDEEIR	16 DECIARE
ACDEEJT	20 DEJECTA
ACDEELL	17 CADELLE
ACDEELR	17 DECLARE
ACDEELS	16 DESCALE
ACDEEMR	20 RACEMED
ACDEEN	17 DECANE
ACDEENO	22 OCEANED
ACDEENV	19 VENDACE
ACDEEOT	23 DOCETAE
ACDEER	15 DECARE
ACDEERT	20 CERATED
ACDEERY	17 DECAYER
ACDEET	18 DECATE
ACDEETT	23 CADETTE
ACDEETU	19 EDUCATE
ACDEF	14 FACED
ACDEFGO	20 DOGFACE
ACDEFHT	24 CHAFTED
ACDEFIN	19 FANCIED
ACDEFIR	17 FARCIED
ACDEFKL	26 FLACKED
ACDEFNU	19 UNFACED
ACDEFRS	17 SCARFED
ACDEFRT	21 FRACTED
ACDEG	12 CAGED
ACDEGGR	15 CRAGGED
ACDEGIS	14 DISCAGE
ACDEGKO	27 DOCKAGE
ACDEGKT	27 GEDACKT
ACDEGNO	21 DECAGON
ACDEGNU	17 UNCAGED
ACDEGO	17 COAGED
ACDEGOR	19 CORDAGE
ACDEGR	14 CRADGE
ACDEHIN	21 ECHIDNA
ACDEHIP	20 EDAPHIC
ACDEHIX	18 HEXADIC
ACDEHK	26 HACKED
ACDEHLR	20 CHALDER
ACDEHMR	23 DEMARCH
ACDEHMS	22 CHASMED
ACDEHN	20 HANCED
ACDEHNR	22 ENDARCH
ACDEHOP	24 POCHADE
ACDEHOT	26 CATHODE
ACDEHP	19 PHECDA
ACDEHPP	22 CHAPPED
ACDEHPU	20 CUPHEAD
ACDEHR	18 ARCHED
ACDEHRS	19 SCHEDAR
ACDEHT	21 DETACH
ACDEHTW	24 WATCHED
ACDEIIL	15 ELAIDIC
ACDEIIO	18 DIOECIA
ACDEIIP	16 PICIDAE
ACDEIIT	18 ACIDITE
ACDEIIV	15 AVICIDE
ACDEIIZ	14 ACIDIZE
ACDEIL	14 DIACLE
ACDEILL	16 CEDILLA
ACDEILM	19 MEDICAL
ACDEILN	18 ICELAND
ACDEILP	17 PELADIC
ACDEILR	16 RADICLE
ACDEILT	19 LACTIDE
ACDEILY	16 LYCIDAE
ACDEIM	17 DECIMA
ACDEIMN	21 DICEMAN
ACDEIMR	19 EMARCID
ACDEIMY	19 MEDIACY
ACDEIN	16 DECIAN
ACDEINO	21 CONIDAE
ACDEINR	18 CANDIER
ACDEINS	17 ANDESIC
ACDEINT	21 DICTAEN
ACDEINY	18 CYANIDE
ACDEIOP	20 DIACOPE
ACDEIPR	17 PREACID
ACDEIR	14 ERICAD
ACDEIRR	16 CARRIED
ACDEIRS	15 SIDECAR
ACDEIRU	15 DECURIA
ACDEISS	14 DISCASE
ACDEIST	18 CESTIDA
ACDEIT	17 DACITE
ACDEITT	22 DICTATE
ACDEITY	19 EDACITY
ACDEIV	14 VEDAIC
ACDEJT	18 ADJECT
ACDEKLO	28 CLOAKED
ACDEKLR	25 CARKLED
ACDEKLS	24 SLACKED
ACDEKLT	28 TACKLED
ACDEKNR	27 CRANKED
ACDEKR	23 DACKER
ACDEKRT	28 TRACKED
ACDEKS	22 SACKED
ACDEL	13 LACED
ACDELLS	16 SCALLED
ACDELM	18 MACLED
ACDELMM	23 CLAMMED
ACDELMS	19 MASCLED
ACDELN	17 LANCED
ACDELNN	21 CLANNED
ACDELNO	22 CELADON
ACDELNR	19 CANDLER
ACDELNS	18 CALENDS
ACDELNU	18 UNLACED
ACDELO	18 DACELO
ACDELOP	21 PLACODE
ACDELOR	20 CORALED
ACDELOS	19 CLADOSE
ACDELPP	19 CLAPPED
ACDELR	15 CRADLE
ACDELRR	17 CRADLER
ACDELRS	16 SCALDER
ACDELS	14 SCALED
ACDELSS	15 DECLASS
ACDELST	19 CASTLED
ACDELTY	20 DECATYL
ACDELU	14 CLAUDE
ACDELV	15 CALVED
ACDELW	16 CLAWED
ACDELWW	19 DEWCLAW
ACDEMM	21 CAMMED
ACDEMNO	25 MACEDON
ACDEMNU	21 DECUMAN
ACDEMOR	23 COMRADE
ACDEMP	19 DECAMP
ACDEMPR	21 CRAMPED
ACDEMSU	18 MUSCADE
ACDEN	15 DECAN
ACDENN	19 CANNED
ACDENNT	24 CANDENT
ACDENNU	20 UNCANED
ACDENO	20 DEACON
ACDENOR	22 ACORNED
ACDENOT	25 TACNODE
ACDENPT	23 PANDECT
ACDENPU	19 UNPACED
ACDENR	17 NACRED
ACDENRT	22 TRANCED
ACDENRU	18 UNRACED
ACDENRY	19 DANCERY
ACDENS	16 ASCEND
ACDENST	21 DESCANT
ACDENSU	17 UNCASED
ACDENT	20 DECANT
ACDENTU	21 UNACTED
ACDEOOR	23 COADORE
ACDEOP	19 PEACOD
ACDEORR	20 CORRADE
ACDEORS	19 SARCODE
ACDEORT	23 REDCOAT
ACDEORU	19 CORDEAU
ACDEOST	22 CESTODA
ACDEOT	21 DECOAT
ACDEOUV	19 COUVADE
ACDEP	14 PACED
ACDEPP	17 CAPPED
ACDEPR	16 REDCAP
ACDEPRS	17 SCRAPED
ACDEPS	15 SPACED
ACDEPU	15 DUCAPE
ACDEQSU	23 CASQUED
ACDER	13 CEDAR
ACDERR	15 CARDER
ACDERRS	16 SCARRED
ACDERS	14 SACRED
ACDERSU	15 CRUSADE
ACDERSV	16 SCARVED
ACDERT	18 REDACT
ACDERTT	23 DETRACT
ACDERTU	19 TRADUCE
ACDERU	14 CUERDA
ACDERY	15 CEDARY
ACDERZ	14 CRAZED
ACDES	12 CASED
ACDEST	17 DECAST
ACDET	16 ECTAD
ACDEUX	13 CAUDEX
ACDEW	14 CADEW
ACDEY	13 DECAY
ACDFFMU	21 MACDUFF
ACDFI	13 FIDAC
ACDFIIT	19 FATIDIC
ACDFIIU	15 FIDUCIA
ACDFIIY	16 ACIDIFY
ACDFINY	19 CANDIFY
ACDFNU	17 FACUND
ACDGHLO	22 CLOGHAD
ACDGHOR	22 ARCHGOD
ACDGILY	15 CADGILY
ACDGINN	19 DANCING
ACDGINO	20 GONADIC
ACDGINR	17 CARDING
ACDGKLO	27 DAGLOCK
ACDGOOR	22 COGROAD
ACDGORT	22 DOGCART
ACDGY	12 CADGY
ACDH	14 CHAD
ACDHIIL	18 CHILIAD
ACDHIIN	20 INACHID
ACDHIIP	19 PHIDIAC
ACDHIIS	17 SAHIDIC
ACDHIN	19 CHANDI
ACDHIOP	23 PHACOID
ACDHIR	17 DIARCH
ACDHIRR	19 RICHARD
ACDHIRS	18 SIDRACH
ACDHIRY	19 HYRACID
ACDHIS	16 DICHAS
ACDHKOR	31 HARDOCK
ACDHKOY	31 HOCKDAY
ACDHLMY	23 CHLAMYD
ACDHLNU	21 CHANDUL
ACDHLO	21 HOLCAD
ACDHLOR	23 DORLACH
ACDHMR	21 DRACHM
ACDHNOO	28 CHANDOO
ACDHNU	19 DAUNCH
ACDHOOP	27 HOODCAP
ACDHOOT	29 CATHOOD
ACDHOPR	24 POCHARD
ACDHOR	21 CHORDA
ACDHORR	23 ORCHARD
ACDHOV	21 DAVOCH
ACDHR	16 CHARD
ACDHRU	17 DUARCH
ACDHRUY	19 DUARCHY
ACDHRYY	20 DYARCHY
ACDHT	19 DATCH
ACDI	10 CAID
ACDII	11 IDAIC
ACDIIIL	14 ILIADIC
ACDIIIN	16 INDICIA
ACDIILN	17 DINICAL
ACDIILU	14 DIAULIC
ACDIIM	16 AMIDIC
ACDIINN	19 INDICAN
ACDIINO	20 CONIDIA
ACDIINR	17 DINARIC
ACDIINS	16 DISCINA
ACDIINT	20 DIACTIN
ACDIIOZ	17 DIAZOIC
ACDIIP	14 ADIPIC
ACDIIPS	15 ADIPSIC
ACDIIRS	14 SCIARID
ACDIIRT	18 TRIADIC
ACDIITY	18 ADICITY
ACDIIV	13 VAIDIC
ACDIJU	13 JUDICA
ACDIKOR	27 AIRDOCK
ACDIKOS	26 SKODAIC
ACDIL	12 CALID
ACDILL	14 CALLID
ACDILLO	19 CODILLA
ACDILMO	22 LACMOID
ACDILNO	21 NODICAL
ACDILNT	21 TINCLAD
ACDILNU	17 LUCINDA
ACDILOP	20 PODICAL
ACDILOR	19 DORICAL
ACDILOT	22 TALCOID
ACDILOU	18 CLAUDIO
ACDILP	15 PLACID
ACDILPU	16 PUDICAL
ACDILRT	19 TRICLAD
ACDILRY	16 ACRIDYL
ACDILS	13 DISCAL
ACDILT	17 LACTID
ACDILTW	20 WILDCAT
ACDILU	13 LUCIDA
ACDILY	14 ACIDYL
ACDIMMU	21 CADMIUM
ACDIMNO	24 NOMADIC
ACDIMNY	21 DYNAMIC
ACDIMOO	25 CAMOODI
ACDIMOT	25 COADMIT
ACDIMR	17 MARCID
ACDIMRU	18 CARDIUM
ACDIMS	16 CADISM
ACDIN	14 DANIC
ACDINNO	23 NONACID
ACDINO	19 ANODIC
ACDINOT	24 CANDIOT
ACDINOY	21 CYDONIA
ACDINR	16 RANCID
ACDINRU	17 IRACUND
ACDINSU	16 SUDANIC
ACDINSX	16 SCANDIX
ACDIO	15 COAID
ACDIOP	18 DAPICO
ACDIOPR	20 PICADOR
ACDIOPS	19 SCIAPOD
ACDIOR	17 CORDIA
ACDIORR	19 RICARDO
ACDIORS	18 SCAROID
ACDIORT	22 DARTOIC
ACDIORU	18 COURIDA
ACDIOS	16 SODAIC
ACDIOST	21 SOTADIC
ACDIOT	20 DACOIT
ACDIOTY	22 DACOITY
ACDIOX	16 OXACID
ACDIOXY	18 OXYACID
ACDIOZ	16 ZODIAC
ACDIPR	15 PICARD
ACDIPS	14 CAPSID
ACDIPU	14 PICUDA
ACDIQRU	23 QUADRIC
ACDIR	12 DIRCA
ACDIRS	13 SCARID
ACDIRST	18 DRASTIC
ACDIRTU	18 DATURIC
ACDIRU	13 RAUCID
ACDIS	11 SADIC
ACDISSY	14 DYASSIC
ACDIST	16 STADIC
ACDIT	15 DICTA
ACDITUV	18 VIADUCT
ACDJKOR	28 JACKROD
ACDJNTU	21 ADJUNCT
ACDKLMU	27 MALDUCK
ACDKLOP	29 PADLOCK
ACDKMNO	33 DOCKMAN
ACDKMOO	34 MOCKADO
ACDKNNO	32 DANNOCK
ACDKOTT	34 DATTOCK
ACDKSU	21 DUSACK
ACDL	11 CLAD
ACDLLOR	20 COLLARD
ACDLLOU	19 COLLAUD
ACDLLUY	16 DUCALLY
ACDLNO	20 DOLCAN
ACDLNOR	22 CALDRON
ACDLNOT	25 COTLAND
ACDLNOY	22 CALYDON
ACDLNU	16 UNCLAD
ACDLNUU	17 UNDUCAL
ACDLO	16 ACOLD
ACDLOR	18 CARDOL
ACDLORU	19 CORDULA
ACDLORY	20 DRYCOAL
ACDLOU	17 ACLOUD
ACDLS	12 SCALD
ACDLSU	13 CLADUS
ACDLSY	14 SCALDY
ACDLTY	18 DACTYL
ACDLU	12 DUCAL
ACDLUU	13 DUCULA
ACDMMNO	28 COMMAND
ACDMNO	23 CODMAN
ACDMO	19 MADOC
ACDMOOW	27 CAMWOOD
ACDMOPY	24 CAMPODY
ACDMORZ	22 CZARDOM
ACDMOT	24 CATDOM
ACDMPU	18 MUDCAP
ACDMSU	16 CADMUS
ACDN	13 CAND
ACDNNU	18 DUNCAN
ACDNOOR	25 CORONAD
ACDNOOT	28 CATODON
ACDNOR	20 CONRAD
ACDNORT	25 CORDANT
ACDNORY	22 DACRYON
ACDNSY	16 CANDYS
ACDNU	14 ADUNC
ACDNUY	16 DAUNCY
ACDNY	15 CANDY
ACDO	14 CODA
ACDOOOR	26 COROADO
ACDOOPY	24 OCYPODA
ACDOOT	24 OCTOAD
ACDOOTW	27 CATWOOD
ACDOOV	21 COVADO
ACDOR	16 DRACO
ACDORS	17 DORCAS
ACDORST	22 COSTARD
ACDORSU	18 CRUSADO
ACDORW	19 COWARD
ACDORWY	21 COWYARD
ACDORX	17 CORDAX
ACDOS	15 SCOAD
ACDOT	19 OCTAD
ACDOTU	20 DUCATO
ACDR	11 CARD
ACDRSTU	18 CUSTARD
ACDRSUU	14 CARDUUS
ACDRTUW	20 DRAWCUT
ACDS	10 SCAD
ACDSS	11 SCADS
ACDSU	11 DACUS
ACDSUU	12 DAUCUS
ACDSW	13 SCAWD
ACDTU	15 DUCAT
ACE	8 ACE
ACEEEHT	22 CHEATEE
ACEEEKL	24 EELCAKE
ACEEEPS	16 ESCAPEE
ACEEEUV	15 EVACUEE
ACEEFF	16 EFFACE
ACEEFFR	18 EFFACER
ACEEFHN	22 CAFENEH
ACEEFHR	20 RECHAFE
ACEEFIL	16 ICELEAF
ACEEFIN	18 FIANCEE
ACEEFN	17 ENFACE
ACEEFNT	22 CAFENET
ACEEFPR	18 PREFACE
ACEEFR	15 REFACE
ACEEFT	18 FACETE
ACEEGHR	18 CHARGEE
ACEEGHV	18 CHEVAGE
ACEEGIL	14 ELEGIAC
ACEEGLM	18 ECLEGMA
ACEEGN	15 ENCAGE
ACEEGNR	17 ENGRACE
ACEEGNT	20 CENTAGE
ACEEGR	13 RECAGE
ACEEH	15 ECHEA
ACEEHHT	25 CHEETAH
ACEEHIT	21 HICATEE
ACEEHIV	18 ACHIEVE
ACEEHK	25 HACKEE
ACEEHKO	30 HOECAKE
ACEEHL	17 LECHEA
ACEEHLM	22 MECHAEL
ACEEHLP	20 HEELCAP
ACEEHLR	19 LEACHER
ACEEHLT	22 CHELATE
ACEEHMR	22 MACHREE
ACEEHMT	25 MACHETE
ACEEHN	19 ACHENE
ACEEHNN	23 ENHANCE
ACEEHNP	22 PEACHEN
ACEEHNR	21 ERENACH
ACEEHNS	20 ENCHASE
ACEEHPR	20 PEACHER
ACEEHPT	23 TEPACHE
ACEEHR	17 ACHREE
ACEEHRR	19 REACHER
ACEEHRS	18 RECHASE
ACEEHRT	22 TEACHER
ACEEHST	21 ESCHEAT
ACEEHT	20 THECAE
ACEEHTT	25 THECATE
ACEEHX	16 HEXACE
ACEEILN	17 ENCELIA
ACEEILP	16 CALIPEE
ACEEILT	18 ELEATIC
ACEEILZ	14 ALECIZE
ACEEINR	17 CINEREA
ACEEINU	16 EUCAINE
ACEEIP	14 APIECE
ACEEIPS	15 APIECES
